MOHAMED TRABELSI                                       1234567819700101TUNPEP3Former government official - enhanced due diligence         20240101                                                      
AHMED BENALI                                           2345678919650512TUNPEP2Member of parliament family                                 20240101                                                      
VICTOR YANUKOVYCH                                      0000000119500709UKREUL4EU asset freeze list - sanctioned 2014                      20240101                                                      
SAIF AL-ISLAM GADDAFI                                  0000000219720625LBYUNL5UN Security Council resolution 1970                         20240101                                                      
ALEKSANDR LUKASHENKO                                   0000000319540830BLREUL4EU sanctions list - human rights                            20240101                                                      
BASHAR AL-ASSAD                                        0000000419650911SYROFC5OFAC SDN list - Syria sanctions                             20240101                                                      
RAMI MAKHLOUF                                          0000000519690710SYROFC5OFAC SDN list - Syria businessman                           20240101                                                      
KIM JONG UN                                            0000000619840108PRKUNL5UN sanctions DPRK leadership                                20240101                                                      
VIKTOR BOUT                                            0000000719670113RUSOFC5OFAC arms trafficking                                       20240101                                                      
SEMION MOGILEVICH                                      0000000819460630UKROFC5OFAC FBI Top Ten Most Wanted                                20240101                                                      
ABU BAKR AL-BAGHDADI                                   0000000919710728IRQUNL5UN ISIL Al-Qaida sanctions list                             20240101                                                      
MARIA GABRIELA CHAVEZ                                  0000001019800312VENOFC4OFAC Venezuela sanctions                                    20240101                                                      
AHMED EL ARABI                                         3456789019751220TUNPEP2Former minister - enhanced monitoring                       20240101                                                      
LEILA KHELIFA                                          4567890119680403TUNPEP2Spouse of senior judge                                      20240101                                                      
KARIM CHAOUACHI                                        5678901219720915TUNPEP1Cousin of regional governor                                 20240101                                                      
YAHYA SINWAR                                           0000001119621029PSEOFC4OFAC SDN list                                               20240101                                                      
HASSAN NASRALLAH                                       0000001219600831LBNOFC5OFAC SDGT designation                                       20240101                                                      
ALI KHAMENEI                                           0000001319390419IRNOFC5OFAC Iran sanctions                                         20240101                                                      
EBRAHIM RAISI                                          0000001419601214IRNOFC5OFAC Iran human rights sanctions                            20240101                                                      
QASEM SOLEIMANI                                        0000001519570311IRNOFC5OFAC Iran IRGC commander - deceased                         20240101                                                      
MOHAMED MORSI                                          0000001619510820EGYPEP3Former president - deceased                                 20240101                                                      
HOSNI MUBARAK                                          0000001719280504EGYPEP3Former president - deceased                                 20240101                                                      
ZINE EL ABIDINE BEN ALI                                0000001819360903TUNTUN5BCT freeze - former regime - deceased                       20240101                                                      
LEILA TRABELSI                                         0000001919561024TUNTUN5BCT freeze - former regime                                  20240101                                                      
BELHASSEN TRABELSI                                     0000002019620114TUNTUN5BCT freeze - former regime                                  20240101                                                      
SAKHER EL MATERI                                       0000002119810118TUNTUN5BCT freeze - former regime                                  20240101                                                      
MOHAMED SAKHER EL MATERI                               0000002219531213TUNTUN4BCT freeze - former regime relative                         20240101                                                      
CECILIA ATTIAS                                         0000002319571112FRAPEP2Former French first lady                                    20240101                                                      
MARINE LE PEN                                          0000002419680805FRAPEP2French politician - enhanced monitoring                     20240101                                                      
ELON MUSK                                              0000002519710628USAPEP1Foreign senior executive                                    20240101                                                      
VLADIMIR PUTIN                                         0000002619521007RUSEUL5EU sanctions - Russia                                       20240101                                                      
SERGEI LAVROV                                          0000002719500321RUSEUL4EU sanctions - Russia                                       20240101                                                      
MIKHAIL FRIDMAN                                        0000002819640421RUSEUL3EU asset freeze - oligarch                                  20240101                                                      
ROMAN ABRAMOVICH                                       0000002919661024RUSEUL3EU asset freeze - oligarch                                  20240101                                                      
ALISHER USMANOV                                        0000003019530909RUSEUL3EU asset freeze - oligarch                                  20240101                                                      
KARIM BENALI                                           6789012319880204TUNPEP1Nephew of senior bank official                              20240101                                                      
FATMA HAMROUNI                                         7890123419770806TUNPEP1Daughter of former minister                                 20240101                                                      
RIDHA OUALI                                            8901234519660629TUNPEP2Senior judiciary official                                   20240101                                                      
SAMIR LOUKIL                                           0000003119550617TUNPEP1Former state company CEO                                    20240101                                                      
MEHDI JOMAA                                            0000003219620420TUNPEP2Former prime minister                                       20240101                                                      
MUSTAPHA KAMEL NABLI                                   0000003319481215TUNPEP2Former central bank governor                                20240101                                                      
CHEDLY AYARI                                           0000003419330216TUNPEP2Former central bank governor                                20240101                                                      
MARZOUKI MONCEF                                        0000003519450707TUNPEP2Former president                                            20240101                                                      
BEJI CAID ESSEBSI                                      0000003619261129TUNPEP3Former president - deceased                                 20240101                                                      
KAIS SAIED                                             0000003719580222TUNPEP3Current president                                           20240101                                                      
YOUSSEF CHAHED                                         0000003819750918TUNPEP2Former prime minister                                       20240101                                                      
HICHEM MECHICHI                                        0000003919740411TUNPEP2Former prime minister                                       20240101                                                      
ELYES FAKHFAKH                                         0000004019720519TUNPEP2Former prime minister                                       20240101                                                      
ABDELHAMID DBEIBEH                                     0000004119590221LBYPEP3Foreign head of government                                  20240101                                                      
AHMED ABOUL GHEIT                                      0000004219420607EGYPEP2Arab League official                                        20240101                                                      
OMAR AL-BASHIR                                         0000004319440101SDNUNL5UN ICC indicted - Sudan                                     20240101                                                      
